数据集_模型,seller_0,seller_1,seller_2,seller_3,seller_4,seller_5,seller_6,seller_7,seller_8,seller_9,模型准确率,Banzhaf值总和
iris_lr,5.12E-09,0.053888133,0.13506139,0.083901774,0.201227826,0.068212826,0.061391544,0.15006821,0.1159618,0.130286492,1,1
iris_svm,0.03247774,0.117862755,0.183865895,0.113672079,0.082242012,0.109481404,3.93E-09,0.127815609,0.114195914,0.118386589,1,1
iris_rf,0.114369501,0.124340175,0.140762462,0.246920815,4.40E-09,0.144868033,0.100879765,0.035777129,0.080351907,0.011730209,1,1
iris_dt,0.089869282,0.053104578,6.13E-09,0.231209142,0.20669934,0.004901967,0.030228762,0.092320262,0.121732025,0.169934636,1,1
iris_gb,0.108717948,0.021538468,0.037948723,7.69E-09,0.14358974,0.283076909,0.201025633,0.141538458,0.018461545,0.044102568,1,1
iris_knn,0.089926011,0.059191806,0.141718837,0.11895276,0.153671028,0.187250992,0.085941947,4.27E-09,0.014797955,0.14854866,1,1
iris_mlp,0.135581554,0.083275982,0.119064005,0.098417068,0.081211288,0.083964213,0.154163796,5.16E-09,0.129387473,0.114934617,0.933333333,1
titanic_lr,0.127265499,0.148092207,0.0809221,0.198489661,0.09236884,0.111526232,0.135691572,0.062957077,5.21E-09,0.042686807,0.778625954,1
titanic_svm,0.128715082,0.075754192,0.085921789,0.069273745,0.127262568,0.143128488,0.02391062,7.32E-09,0.23698323,0.109050279,0.786259542,1
titanic_rf,0.185699711,0.108515082,3.18E-09,0.145917325,0.126584737,0.136833923,0.068926994,0.12158158,0.019964058,0.085976588,0.79389313,1
titanic_dt,0.022386684,0.192506932,0.07224792,0.136447731,0.16484736,0.085568919,0.172432928,6.06E-09,0.123404254,0.030157266,0.748091603,1
titanic_gb,0.104941445,0.117509282,0.095515567,0.123736075,0.079348758,0.114652956,0.068666097,0.144358753,0.151271063,3.74E-09,0.824427481,1
titanic_knn,0.079724809,0.123937675,0.014569006,0.128186967,0.196681499,0.124848238,6.63E-09,0.092675031,0.129299877,0.110076891,0.824427481,1
titanic_mlp,0.105119393,0.130672304,0.134989865,0.136664021,0.128821921,0.096572385,0.065908893,5.77E-09,0.083091022,0.118160189,0.786259542,1
cora_lr,0.0193,0.157491,0.093515,0.084729,0.110693,0.18266,0.080798,0.19103,0,0.079783,0.7127,1
cora_svm,0.337267,0,0.034481,0.17434,0.104096,0.139738,0.023793,0.147403,0.010494,0.028388,0.702,1
cora_rf,0.16073,0.20805,0.035728,0.074983,0.126045,0.093414,0,0.065706,0.134233,0.101112,0.6316,1
cora_dt,0.076954,0.029677,0.171422,0.156451,0,0.130799,0.108096,0.137579,0.087494,0.101529,0.4776,1
cora_gb,0.156709,0.037574,0.166862,0.124319,0.165156,0,0.024284,0.18221,0.122352,0.020532,0.6556,1
cora_knn,0.047561,0,0.111602,0.139013,0.157309,0.090126,0.115928,0.167274,0.048488,0.1227,0.4983,1
cora_mlp,0.112298,0.216476,0.219426,0,0.065084,0.043457,0.09803,0.067677,0.082504,0.095049,0.6647,1
breast_cancer_lr,0.171063525,0.086478174,0.054181949,0.086241572,0.205844075,3.37E-09,0.132260735,0.111676328,0.019992905,0.132260735,0.98245614,1
breast_cancer_svm,0.147399288,0.051705512,4.40E-09,0.119462879,0.062046614,0.085970058,0.179657351,0.052940271,0.164068526,0.136749497,0.964912281,1
breast_cancer_rf,4.81E-09,0.149805774,0.038338122,0.157574731,0.184766083,0.054889379,0.147947979,0.194392835,0.026853576,0.045431518,0.964912281,1
breast_cancer_dt,0.160320638,0.028657319,0.020841688,0.1,0.122444888,0.13306613,0.108817635,0.19879759,5.71E-09,0.127054107,0.929824561,1
breast_cancer_gb,0.102311854,0.104672897,0.099360551,0.132513526,0.157402851,0.097983276,0.140678799,2.80E-09,0.116281357,0.048794886,0.964912281,1
breast_cancer_knn,0.111537969,0.068254579,0.088231528,0.164169546,3.65E-09,0.107184018,0.130234344,0.137021384,0.149186834,0.044179795,0.929824561,1
breast_cancer_mlp,0.213980023,5.08E-09,0.040477892,0.17546362,0.079885878,0.037446508,0.146219684,0.10288873,0.067938661,0.135699,0.98245614,1
digits_lr,3.04E-09,0.037114588,0.166255781,0.125966701,0.14237952,0.145418931,0.107831549,0.092702037,0.090371822,0.09195907,0.977777778,1
digits_svm,0.032887781,0.197615151,0.158188285,0.057986347,0.175738048,4.33E-09,0.053995578,0.082123282,0.063131072,0.178334452,0.966666667,1
digits_rf,0.074401423,0.179620273,0.090394688,0.103628881,0.135288064,0.064768052,0.070239433,4.21E-09,0.217919935,0.063739246,0.983333333,1
digits_dt,0.120248166,0.133182928,0.010189888,0.11250235,0.098815567,0.105094942,0.122617033,3.38E-09,0.133145327,0.164203796,0.861111111,1
digits_gb,0.056757388,0.027448249,0.060634259,6.98E-09,0.066759714,0.191129714,0.131115761,0.219508404,0.164456846,0.082189658,0.972222222,1
digits_knn,0.164924674,0.092153688,0.179155009,4.42E-09,0.038618188,0.137052847,0.192649292,0.044015901,0.000294425,0.151135971,0.972222222,1
digits_mlp,0.055675992,0.078728918,0.02648972,0.130280758,0.143922168,0.121027863,0.145032515,0.16951303,4.76E-09,0.129329032,0.983333333,1
wine_lr,0.100414938,0.175933604,0.187551861,0.086307055,0.150207465,0.047302909,7.47E-09,0.016597517,0.170124476,0.065560169,1,1
wine_svm,0.024079323,0.070349387,4.25E-09,0.017941458,0.16477809,0.163361659,0.154390933,0.12181303,0.156279507,0.127006609,1,1
wine_rf,0.038431377,0.105882353,0.135686272,0.025098045,0.126274508,0.28705881,0.131764704,0.059607846,7.06E-09,0.090196079,0.944444444,1
wine_dt,0.02493766,0.109102244,0.150249374,0.046758108,0.084788031,0.079177059,0.110349127,0.177680794,0.216957599,5.61E-09,0.888888889,1
wine_gb,0.221075895,0.062638175,0.044952104,0.098747237,0.161385405,0.070744291,0.042004425,0.22991893,0.068533532,6.63E-09,0.944444444,1
wine_knn,0.115404168,0.10218607,0.120488052,4.58E-09,0.040671075,0.093035079,0.146924248,0.172343667,0.114387391,0.094560244,0.944444444,1
wine_mlp,0.097529259,0.06025141,0.089726918,0.049414826,0.135240571,0.100130039,0.161681835,0.12223667,3.90E-09,0.183788467,1,1
adult_lr,0.182518907,0.099084605,0.070669018,0.311139152,0.055731488,0.0560709,0.097842357,0.098236075,8.00E-09,0.02870749,0.8502,1
adult_svm,7.00E-09,0.16849,0.120647,0.14531,0.083664,0.144113,0.024192,0.14409,0.108517,0.060977,0.8497,1
adult_rf,0.143219349,0.065482721,0.13734893,0.136950748,0.098283099,0.137325322,0.012478973,0.085427982,4.00E-09,0.183482871,0.8518,1
adult_dt,0.083395,0.108277,0.141672,0.095205,7.00E-09,0.142504,0.060559,0.142605,0.119607,0.106175,0.859,1
adult_gb,0.182185,0.016822,0.216928,0.150171,0.049463,0.017432,1.00E-08,0.066367,0.000657,0.299975,0.8659,1
adult_knn,0.168924,0.129786,0.080036,0.144267,0.112394,0.024682,5.00E-09,0.129794,0.192957,0.01716,0.8188,1
adult_mlp,0.144629,0.059775,0.008689,0.171401,0.152903,0.051691,0.146115,0.102712,5.00E-09,0.162084,0.8461,1
cifar10_lr,0.09721929,0.044988589,0.138187586,0.116259963,0.093862179,8.25E-09,0.095211622,0.140018737,0.17155413,0.102697896,0.4031,1
cifar10_rf,0.149349116,2.17E-08,0.06808334,0.066224943,0.018753328,0.137430193,0.048804645,0.185388117,0.20576535,0.120200946,0.4084,1
cifar10_mlp,0.073157042,0.22275261,0.028801072,0.098043101,0.112949517,0.111115113,0.125469106,0.033283505,1.50E-08,0.194428918,0.454,1
cifar10_resnet,0.107119975,0.085238354,0.032932269,0.10049635,0.128291922,0.073454102,7.04E-09,0.078680909,0.217168758,0.176617355,0.6644,1
